A,B,C,D,E,F
2,26.02,28,258.44,-45.8994,-26.5
0,22.03,38,348.16,68.4857,8.40898
9,39.97,17,159.48,-8.93292,-1.09682
13,48.03,21,195.07,-57.1577,-33
0,22.32,8,78.24,-4.94975,-4.94974
21,64.3,10,96.56,24.4537,5.19779
30,82.04,9,86.99,-16.2166,-24.0421
37,96.5,9,87.49,-4.75528,-1.54508
33,88.54,4,42.18,-8.76933,-2.02456
13,48.16,17,159.47,68.891,17.1764
37,96,6,60.51,12.0534,4.86988
12,46.52,5,51.34,-44.6717,-61.4853
1,24.43,17,159.38,31.606,5.0059
22,66.4,12,114.4,45.6773,20.3368
6,34.29,12,114.25,79.8888,25.9574
10,42.54,29,267.31,6.25193,6.47405
25,72.01,18,168.27,76.1151,27.7036
8,38.19,30,276.18,-40.1504,-57.3406
1,24.45,6,60.32,-72.4017,-38.4966
10,42.31,21,194.99,3.94535,8.08914
36,94.03,30,276.12,27.1132,15.0291
33,87.97,8,78.36,54.5022,19.8372
30,83.04,14,132.09,-48.1774,-53.5064
19,60.23,34,312.16,-15.606,-14.0517
36,94.53,32,294.09,44.9948,9.56393
10,42.54,14,132.5,-34.193,-70.1059
39,100.31,2,24.06,-30.9732,-44.2342
0,22.05,32,294.31,76.9009,22.051
20,62.45,0,6.32,4.68585,16.3414
2,26.21,17,159.44,2.77864,2.87736
11,44.55,11,105.25,-36.5279,-10.4742
18,58.56,3,34.48,-52.7941,-54.6698
13,48.37,25,231.32,-96.6309,-8.4541
17,56.06,6,60.36,26.4379,59.3804
35,92.41,14,132.21,-42.4353,-24.5
27,76.24,33,303.45,5.15039,8.57167
20,62.38,35,321.02,-4.38812,-4.09199
28,78.01,11,105.34,48.864,17.785
38,98.01,37,338.97,-98.6233,-8.62841
35,92.07,28,258.18,-93.6948,-25.1054
8,38.37,16,150.09,54.0919,14.4939
21,64.31,15,141.55,8.91774,8.02956
39,100.17,21,195.23,-84.5723,-30.7818
29,80.25,27,249.49,-13.1212,-15.0942
39,100.01,33,303.06,49.4549,16.0689
2,26.38,33,303.18,-11.0461,-4.68877
36,94.22,7,69.28,-1.67758,-2.48711
1,24.49,31,285.26,-24.5318,-85.5523
8,38.5,17,159.18,23.4854,72.2803
11,44.31,22,204.08,-57.0296,-37.0354
14,50.12,34,312.18,-69.4985,-35.4112
10,42.07,16,150.05,-24.0108,-30.7324
32,86.15,22,204.37,91.4909,35.12
15,52.38,6,60.05,-28.1053,-40.1384
22,66.09,6,60.25,-28.7544,-23.2848
