A,B,C,D
1,38,-12.83,634.37
2,7,-5.73,76.09
3,17,0.98,256.16
4,26,8,418.34
5,32,15.3,526.1
6,15,22.19,220.31
7,6,29.21,58.2
8,24,36.16,382.21
9,20,43.13,310.09
10,11,50.37,148.16
11,28,57.37,454.24
12,21,64.03,328.19
13,39,71.08,652.21
14,23,78.02,364.06
15,19,85.23,292.29
16,32,92.27,526.17
17,38,99.32,634.29
18,14,106.16,202.3
19,19,113.02,292.35
20,25,120.14,400.27
21,1,127.23,-31.76
22,14,134.09,202.28
23,3,141.27,3.98
24,22,148.04,346.25
25,30,155.14,490.2
26,25,162.04,400.06
27,34,169.05,561.98
28,39,176.01,652.06
29,1,183.16,-31.77
30,10,190.07,130.15
31,27,197.35,436.29
32,11,204.12,148.15
33,9,211.3,111.98
34,13,218.12,184.05
35,6,225.35,58.05
36,18,232,274.26
37,5,239.2,40.31
38,18,246.34,274.21
39,36,252.98,598.23
40,20,260.18,310.16
41,0,267.13,-49.9
42,27,274.08,436.22
43,10,281.29,130.02
44,2,288.12,-13.65
45,3,295.27,4.28
46,29,302.29,472.04
47,17,308.99,256.35
48,20,316.32,310.35
49,26,323.1,418.22
50,3,330.02,4.06
51,20,337.25,310.33
52,35,344.08,580.23
53,24,351.14,382.34
54,1,358.27,-31.75
55,19,365.05,292.2
56,16,372.37,238.24
57,30,379.34,490.07
58,8,386.11,93.99
59,31,393.3,508.3
60,13,400.06,184.1
61,33,407.1,544.14
62,14,414.15,202.19
63,22,421.34,346.1
64,19,428.35,292.13
65,3,435.19,4.3
66,24,442.29,382.31
67,1,449.02,-31.97
68,28,456.25,454.24
69,29,463.26,472.36
70,2,470.22,-13.92
71,12,477.15,166.15
72,34,484.08,562.24
73,11,491.11,148.06
74,15,498.33,220.07
75,13,505.14,184.13
76,39,512.19,652.16
77,23,519.36,364.34
78,4,526.17,22.12
79,15,533.21,220.28
80,7,540.07,76.1
81,9,547.33,112.01
82,10,554.33,129.99
83,32,561.14,526.13
84,11,568.3,148.3
85,7,575.17,76.25
86,4,582.3,22.15
87,1,589.11,-31.97
88,0,596.13,-49.92
89,1,603.24,-31.81
90,30,610.37,490.07
91,22,617.11,346.18
92,16,624.29,237.98
93,31,631.23,508.09
94,39,638.06,652.06
95,22,645.21,346.13
96,31,652.31,508.02
97,6,659.25,58.2
98,17,666.32,256.21
99,28,673.19,454.35
100,0,680.27,-49.7
